X_t,Y_t,pm_alpha,pm_delta
0.00012410858541346637,-0.0001855376371469763,-2.263468962258227,-4.3452730502195545
0.0001825863897879425,-0.0003722202156625985,,
-0.0004182491795376267,-0.00025857144125074994,,
-0.0003992153270888041,0.00046794751037878234,-3.3143605448822293,-4.525508665383573
0.0005092799394337983,-0.0003869040211934479,,
-0.0007002475616739895,0.00015493335204359125,-2.6115899518209287,-2.9026875910596384
-0.00027538836057939826,-0.0006814872732944006,-2.677588691019281,-4.895105222230995
-0.00023231397652259637,0.0009442358246361289,,
-0.0009567402928434671,0.00049764615031366,,
-0.0010596143339981238,-0.00024518785493892186,-2.5322443417309364,-4.221740722820046
-0.0010374280279081148,-0.00047834849714854577,-6.812636378225405,-0.0653613831113199
0.00019384485010275936,0.001164272673443003,,
-0.0003629870263752024,0.0011512859972843364,-2.5080303098759886,-4.638975042046385
-0.0012093349230151245,6.539613582042084e-05,,
0.0005595730826578154,0.0011511209524862377,-2.316087158539554,-3.9697732360954503
0.0012214992408956895,0.00040185578698841677,-2.388565780416663,-4.16765821660319
0.0010277740953097657,-0.0008187267951807058,-2.731640315910596,-3.839594186366572
0.0009429173231041937,-0.001053669156415168,,
-0.0013436921789170009,-0.0007566548818138758,,
-0.0007290934644486719,0.0013816943620063072,-3.412487698803047,-3.959278694241608
-0.00026322670957815354,-0.001544310561411049,,
0.0014007842925153405,0.0007368811864967694,,
-0.001563790619531828,0.0003785239185008541,,
0.000616726961022091,-0.0015220927953049118,-1.9040898033140061,-5.5162862450975645
-0.000257473171601807,0.001648627800122382,-2.625639841234087,-5.02052112743847
0.0013762705275258357,0.000989227124462432,-3.8198882948134694,-6.178830241371555
-0.0014653017289089165,-0.0008592775624605104,,
-0.0008151980614259706,-0.0015094268254395487,,
-0.0011259174758264442,0.0013447892860033778,,
-0.0013480111540138215,-0.0011836490614318673,,
0.0018049054459305055,0.00015675928347593445,0.8184926113619763,-5.633209641281114
0.0006098838322091718,0.0017562781513385502,-2.546883711161253,-4.395331459694573
-0.001910821671488778,-2.8525969992087854e-05,,
