X_t,Y_t,pm_alpha,pm_delta
-0.0005402248092360462,0.00011846680018179971,,
0.0005201095814550752,0.00026099080038792603,-9.647109339568452,0.4568699887355578
0.0005265127454871921,-0.0004873029645926299,-7.866792444159418,-0.865708935949873
-0.00046630148550126627,0.0006163151359369315,-6.432487009627461,-1.6084429822003703
-0.0004623797790372666,-0.0006283870920940525,-6.368013059321089,-2.0639173474478687
0.0004966370019601123,-0.0007023313765574657,-6.246842028429361,-1.9411263598652944
0.0003692138380917164,0.0008599043371696271,,
0.0006019099798289907,0.0007246953093669623,,
0.0003480348804368384,-0.0009364449897475407,,
0.0010463448989451356,5.6677952394602174e-05,-6.4388142445549,-2.19395560508372
-0.0009872340748906063,-0.0005669603677244818,-6.040372406967508,-1.8978863872567704
-0.0005166959192107889,0.0010340003456089162,,
-0.0011567449764285365,-2.142649291176865e-05,-5.548375573482829,-2.841571724715277
0.0006968114850439901,-0.0010378359094852724,-6.3337917821073955,-2.274639486198458
0.0007126738005180626,0.0010668372961072134,-4.922592973517814,-3.1739493916184918
0.0009707786160253675,0.0008840561260843828,-5.882683161639198,-3.0004994213737604
0.001210703748171256,0.000627134877026713,-5.409059872629043,-1.926323081453612
0.00018779276881447025,0.0013620815917792268,-5.994392395142334,-1.7519190470674952
-0.0003652113209821356,-0.001355060607677481,,
-0.0012659761528812123,-0.0007754814367769836,,
4.640698074348978e-05,0.0015047374179389722,,
-0.0012601307567198883,0.0009013960767670153,-6.543568511062155,-1.561278810457942
-0.0015774914090836364,-1.4922874445339506e-05,,
0.0008944029115963703,0.0013455351618671685,-7.018034741698728,-1.5408592399002534
0.0012175155716635144,-0.0010813063099629654,-6.199681466106479,-2.3984345848379967
0.0016615050645187692,0.0004262521469193891,-6.2673511964732,-1.477765317662688
0.0006902865275741653,-0.0016029876320841486,-5.670973330263793,-2.3427980130081707
-0.00020108127121853074,0.0018421957290092631,-13.226400766152027,-11.350528299181914
-0.001795328733224761,-0.00046280374201967305,-7.015529389177393,-0.6772978097221373
-0.00033355938661283965,-0.0018566698736008813,-6.2712955732523525,-1.6907730217897745
9.773950869700071e-05,-0.0019025615031844523,-6.446073770794488,-2.0352583427405424
0.001884434152062598,-0.00043518478768604494,-6.366728638931514,-1.123570711001174
-8.750945907387582e-05,0.001940299570944272,,
-0.0010621174183191057,-0.001643120506545784,-6.231106839312071,-2.050969474618887
-0.001956548326353784,0.00011007470744069903,-9.806109740582862,4.162001313209588
-0.0007930451737038885,-0.001818864891358322,,
0.0008882774587533073,0.0018573733507753216,-5.027635826369813,-5.503957299744368
0.0003957829384811592,0.002048724742462209,,
0.002064387555194055,-0.0004592820506418758,-6.100805830469093,-4.317638482949362
-0.0007480492198276241,-0.0019934540860365524,-8.928989617115592,-0.8922601249262812
-0.0021307364022474266,-0.00022853722298960238,,
-0.002139928004774689,0.0004942369139206312,-6.058032651168829,-1.5160913588086742
0.00010407402147680469,0.002201995820528239,-6.129011963555679,-2.647599562761474
0.0011838458451798608,-0.001893332089922281,-6.823272089267325,-1.431677539862522
-0.0020830631985042673,-0.000841871853280463,-6.967676093220064,-1.7032022793645585
0.001767038452744953,-0.0013902961761905076,,
0.002100602546823064,0.0008890106340713592,-5.738218433841593,-5.049341078522465
0.0022248849904594015,0.0005151968610980833,-6.773865957455841,-2.986327060276458
-0.0019110987911317302,0.0012531855922519484,,
-0.0015469892391250244,0.001730717234601179,-6.033988396997927,-2.159518807171434
0.0020931955627998505,-0.0010154765194156441,,
0.0006156677736020616,0.0022661608444695014,,
-0.002358947733247305,-6.163529256633489e-05,-7.046902551957695,-2.242391190754764
-0.0015374352608380183,-0.0018029970267093875,-6.263160071234902,-2.2111112649271485
0.001643401170364651,0.0017107435036270244,-5.29637923930444,-3.804804201806623
-0.0010608645171712105,-0.002224821215159157,,
0.0007901704713231916,0.0023465411409975888,-5.695681841212583,-0.6474577443963552
0.0003964331899283168,0.0024780997540122178,,
-0.0022729041822081185,0.0011174369027584603,-5.20193878903357,-1.8395744997932293
0.001743922466403678,-0.0018961891444378373,-7.353192356018392,-0.6832186383170831
3.924460779989611e-05,0.0025804058923718223,-7.079895409534309,-1.4832788709721343
-0.0021467699721239093,-0.0014497551356987028,-6.412890507869965,-2.410048097142828
0.002219232949981614,0.0013637963998746226,,
0.0023363070634586807,0.0011518815660082804,-6.605943340540485,-1.883303443878868
-0.0012708774351755567,0.0022805905669606046,,
-0.00046516586901202735,-0.002577271565567341,-6.476353377266703,-1.5216105631902073
0.00033227712645989124,-0.0026172458311162286,,
-0.00035538501983752567,0.0026743181112950667,,
-0.002454941067896721,-0.0011471312931923678,-4.794934360622832,-1.7019066355094252
-0.0024242365743563795,-0.0013011792596957672,,
0.000967845303643558,-0.0026194920788553625,-6.9050615255889385,-0.7973914936798915
-0.0001979365278016699,-0.0027912747090046955,-6.784696098770664,-2.1428048193611184
-0.0024787490258455064,0.0013607638713050373,-6.5239188671447526,-1.5411090429646517
-0.0028002816733604685,-0.00046676129690364533,-8.626100898701983,0.0819820872134391
0.0011509697987132999,0.0026052340566969446,-7.629231218499369,-1.9035469801360207
-0.0022976095827680425,-0.0017639389805195864,-6.5744362664714515,-2.4930444197510058
0.002840307550341412,0.0007705403819226061,-8.059894946320373,-0.7517837050572201
0.0002815843793900773,0.0030022962389367703,1.5336182436144834,-7.476716668969747
0.0028234436463010406,-0.0010815779376404197,-4.962637238946708,-0.7864783366230241
0.002984368647396157,0.000507602790746937,,
-0.003040244067634431,-0.000131539707531599,-5.8995893987948484,-3.041594071520618
0.0016787474527321987,-0.002571462118532259,-5.924112504212081,-2.827206130889836
-0.0018761706609188107,-0.002456741282856186,-6.74471310093182,-6.33689044500556
0.0024874566615372667,-0.001904994540751583,-6.291561731386811,-1.0312578348981047
0.002036796048075271,-0.002401504309255864,-5.74498065088626,-2.541550285839448
-0.002607281773688096,0.001809107181790277,7.700280058465122,-16.23365994395396
0.0007216986261358983,0.00312269565885627,-6.376696028166016,-1.3782567327850854
-0.0010523832791660562,0.0030803669187067927,-5.276071527188344,-1.9798058848296889
0.003290268676219303,-6.841138697682964e-05,-6.454882006733342,-1.9126256137347464
-0.0032630458127621037,0.00044818701384940227,-6.148917750251174,-2.49501828820123
0.0028244561905781526,-0.0017085109739332774,-5.486135342536469,-0.8385172720460884
-0.001913074134869081,0.0026945507233462453,,
9.153916067466462e-06,-0.0033147457642015246,-4.1659588882732805,-3.840357341558868
-0.0013620673203748527,0.00308035353554334,-8.74885855441154,-0.3771106817764339
0.002772321022462691,-0.0019216010122858225,-7.235872753289425,-0.8543160902496187
-0.002500444166967388,-0.0022709541534149578,-6.642392026146377,-1.198378309833512
0.0031809660708712337,0.001137380919306301,-5.997060955417963,-1.390330950457554
-0.00037645668776630815,0.0033671491721593574,,
0.00257126806517791,0.002225659841086774,-3.190760160676223,-5.855838714298773
-0.0003542517618949719,-0.0034748241221922364,-6.460463975395994,-1.6490091448080644
0.002557571343480057,0.0024035032642656636,-5.310448190423609,-3.3870996294889397
0.003018521830519524,0.0018078937195802574,,
-0.0017713178867259569,-0.0030672286799587945,,
-0.0032284541761762636,-0.0016309304119821722,-6.0943333987599635,-0.4543387752481723
0.0004526894213351855,-0.003602450996716385,-7.385510187285792,-2.42659903567208
-0.0008688472642692276,-0.0035326714206167687,,
0.003625113895650589,-0.00034848932080397085,-5.876762324760199,-1.832097018960764
0.001614363050503008,0.0032662711256410378,-6.261997900597685,-2.335156760538318
-0.002974057418124985,0.0021052698931200518,,
-0.002469645604476676,0.002744645570533508,-6.44428058255977,-2.14008797904878
-0.0035034131178547875,-0.0011784628093772169,-6.336009852416874,-1.939850447850883
-0.0023939618936476927,-0.0028404011390575387,-3.971229439919421,-2.316232441203913
-0.003712830118940906,0.00012813909402795137,-5.9969094520049655,-2.1407850898014105
-0.0007510988263401864,-0.0036744431045552667,-5.970265682069289,2.99284191777691
